,Reference Genom,Node Name,prediction method,mse,rmse
1,archea1.4g_8nodes,221,Log_Polynominal  2,1.0793692536509492,1.3183271366747722
2,archea1.4g_8nodes,221,Log_Polynominal  3,1.0790576947552513,1.3176380996034889
3,archea1.4g_8nodes,221,Log_curve  1,inf,1.6321164758981973e+34
4,archea1.4g_8nodes,221,Log_curve  2,inf,1.1488546513784027e+44
5,archea1.4g_8nodes,221,Log_curve  3,inf,5.3077971246894436e+50
0,archea1.4g_8nodes,221,Smoothing Spline,14.069166443306004,3.750888753789694
0,archea1.4g_8nodes,221,Univariatn Spline smoothing approximation 1 with degree  1 ,721.8179875024866,26.866670569731685
1,archea1.4g_8nodes,221,Univariatn Spline smoothing approximation 1 with degree  2 ,163.68451178382767,12.793924799834791
2,archea1.4g_8nodes,221,Univariatn Spline smoothing approximation 1 with degree  3 ,163.41688320497622,12.783461315503567
3,archea1.4g_8nodes,221,Univariatn Spline smoothing approximation 2 with degree  1 ,0.6574628949057195,0.8108408567072329
4,archea1.4g_8nodes,221,Univariatn Spline smoothing approximation 2 with degree  2 ,0.6569888901856591,0.8105485119261272
5,archea1.4g_8nodes,221,Univariatn Spline smoothing approximation 2 with degree  3 ,0.6566038078065856,0.8103109327946807
0,archea1.4g_8nodes,221,Generell Spline approximation smoothing s1 with degree  1 ,0.6574628949057195,0.8108408567072329
1,archea1.4g_8nodes,221,Generell Spline approximation smoothing s1 with degree  2 ,0.6569888901856591,0.8105485119261272
2,archea1.4g_8nodes,221,Generell Spline approximation smoothing s1 with degree  3 ,0.6566038078065856,0.8103109327946807
3,archea1.4g_8nodes,221,Generell Spline approximation smoothing s2 with degree  1 ,721.8179875024866,26.866670569731685
4,archea1.4g_8nodes,221,Generell Spline approximation smoothing s2 with degree  2 ,163.68451178382767,12.793924799834791
5,archea1.4g_8nodes,221,Generell Spline approximation smoothing s2 with degree  3 ,163.41688320497622,12.783461315503567
0,archea1.4g_8nodes,222,Polynominal  1,2565.0609716582494,50.646430986380956
1,archea1.4g_8nodes,222,Polynominal  2,895.0108545056246,29.916732015807217
2,archea1.4g_8nodes,222,Polynominal  3,753.4509284878644,27.449060612120487
3,archea1.4g_8nodes,222,Polynominal_curve  1,2565.0609716582494,50.646430986380956
4,archea1.4g_8nodes,222,Polynominal_curve  2,895.0108545056246,29.916732015807217
5,archea1.4g_8nodes,222,Polynominal_curve  3,753.4509284878644,27.449060612120487
0,archea1.4g_8nodes,222,Log_Polynominal  1,1.336748636458864,1.7138452394766104
1,archea1.4g_8nodes,222,Log_Polynominal  2,1.1964087379980137,1.5272474463567896
2,archea1.4g_8nodes,222,Log_Polynominal  3,1.146613997808507,1.447564879239418
3,archea1.4g_8nodes,222,Log_curve  1,inf,7.592621488009162e+77
4,archea1.4g_8nodes,222,Log_curve  2,inf,1.404214262645156e+99
5,archea1.4g_8nodes,222,Log_curve  3,inf,8.264837646846663e+104
0,archea1.4g_8nodes,222,Smoothing Spline,16.35899513007909,4.044625462274485
